gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
RSRC1	1361.062489414016	0.40943336856620033	0.051608476604363435	7.933451934746379	2.1313707357688645e-15	1.2485185921375907e-14	P-Adj < 0.05
PNPT1	1162.5203052397383	0.23459636730626673	0.051416262038603555	4.5626881069287135	5.0502810831085395e-6	1.1328761195503004e-5	P-Adj < 0.05
THOC7	718.6600461004917	0.14634722320786878	0.04742016135528747	3.086181468497907	0.0020274504501185484	0.003372717034113763	P-Adj < 0.05
DDX10	1213.7461241976712	0.5273711496645394	0.045068997898305783	11.701417254816844	1.25342410444088e-31	2.7179512159454874e-30	P-Adj < 0.05
EXOSC9	689.1068787072682	0.4057992567916025	0.043878199684273055	9.24831145560993	2.28066943650826e-20	1.9851460729043728e-19	P-Adj < 0.05
TGS1	1314.9734415109424	0.22810116612232015	0.044766272365529235	5.095379938267136	3.4804253730055453e-7	8.869702600071863e-7	P-Adj < 0.05
PDCD7	1683.495912170967	0.2657999952446302	0.04085184887400161	6.506437347901459	7.695397545268188e-11	3.0099719512504687e-10	P-Adj < 0.05
TBL2	1402.96598786798	0.22266611354545637	0.04290969457378831	5.189179642436177	2.1122255144715732e-7	5.496233128182873e-7	P-Adj < 0.05
FCF1	1167.519343326917	-0.21418247772657095	0.04348593235771486	-4.925327942027503	8.421898841962602e-7	2.009549607850536e-6	P-Adj < 0.05
BRIX1	680.2165430097393	0.1647385418996119	0.04744630018403978	3.4721051222246295	5.16394085061308e-4	9.277079783950243e-4	P-Adj < 0.05
IGF2BP1	520.7295653046652	5.384958510059258	0.3730394471603153	14.435359453406678	3.1002518534131576e-47	3.483555718926057e-45	P-Adj < 0.05
PRPF39	787.1150322845368	0.6721518740625801	0.06466820646188119	10.39385365448138	2.6444760709600168e-25	3.552796112724544e-24	P-Adj < 0.05
ZNHIT6	1441.9282084428214	-0.3960181910257111	0.0639301957814766	-6.194540563888826	5.845528568392606e-10	2.0761704915325463e-9	P-Adj < 0.05
ADK	1102.847201571459	-0.2430549262321095	0.05518877920089913	-4.40406419115264	1.0624148426852433e-5	2.3200437200688353e-5	P-Adj < 0.05
CCDC12	1111.865227514912	0.37035881972429124	0.04962361196128303	7.463358773908878	8.434427362414596e-14	4.38023202518674e-13	P-Adj < 0.05
MEX3B	1221.1948574065573	1.7501076287414346	0.14370046872345874	12.178858178322239	4.028826288828676e-34	1.016250876120866e-32	P-Adj < 0.05
DDX51	1437.5835007926414	0.42943344238424064	0.058349023832724	7.359736533302561	1.8427356422270207e-13	9.37292697033991e-13	P-Adj < 0.05
CWC25	1009.2061085275091	0.5239176596004417	0.05548282023603578	9.442880829986361	3.6266843296904696e-21	3.3204309862943856e-20	P-Adj < 0.05
TRMT2A	1783.5926804579267	0.3669906894801669	0.04768556496269003	7.69605413645212	1.4033237367352296e-14	7.607491835985719e-14	P-Adj < 0.05
TDRD3	1400.5389577311075	0.3466749943487684	0.06098283110707558	5.684796655964783	1.3096839682236113e-8	3.8819409705620704e-8	P-Adj < 0.05
POLR2H	948.9899355186645	0.4575819091317402	0.04221546741835103	10.839200347994483	2.2442408030006762e-27	3.6498442533011e-26	P-Adj < 0.05
POLR2I	1188.5728803957193	-0.12972145243809854	0.061360165797913806	-2.1140987927791577	0.03450683028607024	0.0485215497537916	P-Adj < 0.05
SUPV3L1	915.7307542357876	0.1881585950923316	0.03818674214626635	4.927327771812252	8.336184756649213e-7	1.9929447503323845e-6	P-Adj < 0.05
ELAVL2	922.2335445446167	3.108898946508049	0.23444194294124743	13.260847899077334	3.904559379907232e-40	1.5081360604891683e-38	P-Adj < 0.05
SCNM1	846.9277955523515	0.10360891367237964	0.040461566149794154	2.560674821355296	0.01044690877338626	0.015823994171452718	P-Adj < 0.05
RRP15	1022.9164418054576	0.1347400380204248	0.057211676877548405	2.3551142943915506	0.01851700927005881	0.026989414454944207	P-Adj < 0.05
